Postal Code,Latitude,Longitude
K1Y,45.402,-75.733
K1S,45.399,-75.687
K1K,45.445,-75.643
K1L,45.44,-75.663
K1Z,45.387,-75.74
K1G,45.355,-75.577
K1H,45.388,-75.659
K1M,45.449,-75.682
K1P,45.422,-75.703
K1R,45.412,-75.711
K2A,45.38,-75.764
K2B,45.365,-75.793
K2P,45.417,-75.69
K1N,45.429,-75.684
K2C,45.368,-75.738
K1V,45.328,-75.672
K1A,45.421,-75.702
K2E,45.344,-75.716
K2J,45.269,-75.752
K2G,45.321,-75.739
K2H,45.343,-75.826
K2R,45.29,-75.813
K2M,45.286,-75.856
K2T,45.317,-75.937
K2K,45.37,-75.92
K2L,45.3,-75.924
K2V,45.285,-75.893
K2W,45.37,-75.989
